id = 168, KLT = 466, ransac = 219
id = 169, KLT = 468, ransac = 241
id = 170, KLT = 460, ransac = 233
id = 171, KLT = 458, ransac = 234
id = 172, KLT = 455, ransac = 229
id = 173, KLT = 447, ransac = 233
id = 174, KLT = 467, ransac = 228
id = 175, KLT = 458, ransac = 274
id = 176, KLT = 458, ransac = 232
id = 177, KLT = 469, ransac = 230
id = 178, KLT = 479, ransac = 243
id = 179, KLT = 468, ransac = 243
id = 180, KLT = 476, ransac = 266
id = 181, KLT = 509, ransac = 264
id = 182, KLT = 520, ransac = 255
id = 183, KLT = 527, ransac = 234
id = 184, KLT = 516, ransac = 224
id = 185, KLT = 509, ransac = 209
id = 186, KLT = 538, ransac = 258
id = 187, KLT = 511, ransac = 214
id = 188, KLT = 555, ransac = 273
id = 189, KLT = 545, ransac = 224
id = 190, KLT = 546, ransac = 201
id = 191, KLT = 472, ransac = 186
id = 192, KLT = 449, ransac = 174
id = 193, KLT = 415, ransac = 167
id = 194, KLT = 231, ransac = 119
id = 195, KLT = 211, ransac = 120
id = 196, KLT = 151, ransac = 95
id = 197, KLT = 100, ransac = 72
id = 198, KLT = 85, ransac = 64
id = 199, KLT = 64, ransac = 46
id = 200, KLT = 69, ransac = 53
id = 201, KLT = 58, ransac = 45
id = 202, KLT = 62, ransac = 53
id = 203, KLT = 112, ransac = 94
id = 204, KLT = 110, ransac = 83
id = 205, KLT = 72, ransac = 50
id = 206, KLT = 65, ransac = 47
id = 207, KLT = 74, ransac = 45
id = 208, KLT = 49, ransac = 33
id = 209, KLT = 58, ransac = 41
id = 210, KLT = 48, ransac = 31
id = 211, KLT = 62, ransac = 39
id = 212, KLT = 77, ransac = 45
id = 213, KLT = 82, ransac = 44
id = 214, KLT = 91, ransac = 62
id = 215, KLT = 120, ransac = 83
id = 216, KLT = 106, ransac = 85
id = 217, KLT = 59, ransac = 48
id = 218, KLT = 44, ransac = 41
id = 219, KLT = 50, ransac = 41
id = 220, KLT = 54, ransac = 43
id = 221, KLT = 62, ransac = 47
id = 222, KLT = 101, ransac = 76
id = 223, KLT = 134, ransac = 90
id = 224, KLT = 172, ransac = 100
id = 225, KLT = 195, ransac = 116
id = 226, KLT = 226, ransac = 116
id = 227, KLT = 324, ransac = 134
id = 228, KLT = 463, ransac = 187
id = 229, KLT = 477, ransac = 159
id = 230, KLT = 565, ransac = 192
id = 231, KLT = 614, ransac = 203
id = 232, KLT = 574, ransac = 238
id = 233, KLT = 559, ransac = 217
id = 234, KLT = 567, ransac = 257
id = 235, KLT = 539, ransac = 262
id = 236, KLT = 530, ransac = 261
id = 237, KLT = 563, ransac = 262
id = 238, KLT = 523, ransac = 249
id = 239, KLT = 503, ransac = 224
id = 240, KLT = 485, ransac = 236
id = 241, KLT = 450, ransac = 246
id = 242, KLT = 474, ransac = 235
id = 243, KLT = 495, ransac = 222
id = 244, KLT = 506, ransac = 244
id = 245, KLT = 495, ransac = 242
id = 246, KLT = 515, ransac = 239
id = 247, KLT = 530, ransac = 239
id = 248, KLT = 530, ransac = 240
id = 249, KLT = 538, ransac = 238
id = 250, KLT = 546, ransac = 257
id = 251, KLT = 552, ransac = 259
id = 252, KLT = 614, ransac = 243
id = 253, KLT = 646, ransac = 249
id = 254, KLT = 667, ransac = 235
id = 255, KLT = 633, ransac = 235
id = 256, KLT = 582, ransac = 221
id = 257, KLT = 498, ransac = 184
id = 258, KLT = 403, ransac = 173
id = 259, KLT = 336, ransac = 149
id = 260, KLT = 231, ransac = 122
id = 261, KLT = 169, ransac = 84
id = 262, KLT = 158, ransac = 62
id = 263, KLT = 130, ransac = 44
id = 264, KLT = 80, ransac = 42
id = 265, KLT = 120, ransac = 68
id = 266, KLT = 154, ransac = 94
id = 267, KLT = 95, ransac = 46
id = 268, KLT = 63, ransac = 29
id = 269, KLT = 57, ransac = 32
id = 270, KLT = 38, ransac = 23
id = 271, KLT = 25, ransac = 14
id = 272, KLT = 20, ransac = 12
id = 273, KLT = 20, ransac = 15
id = 274, KLT = 11, ransac = 7
id = 275, KLT = 0, ransac = 0
id = 276, KLT = 11, ransac = 7
id = 277, KLT = 12, ransac = 7
id = 278, KLT = 13, ransac = 7
id = 279, KLT = 16, ransac = 15
id = 280, KLT = 21, ransac = 19
id = 281, KLT = 67, ransac = 47
id = 282, KLT = 76, ransac = 51
id = 283, KLT = 128, ransac = 85
id = 284, KLT = 185, ransac = 101
id = 285, KLT = 465, ransac = 132
id = 286, KLT = 728, ransac = 223
id = 287, KLT = 698, ransac = 247
id = 288, KLT = 669, ransac = 292
id = 289, KLT = 686, ransac = 255
id = 290, KLT = 601, ransac = 275
id = 291, KLT = 548, ransac = 243
id = 292, KLT = 533, ransac = 265
id = 293, KLT = 499, ransac = 264
id = 294, KLT = 479, ransac = 246
id = 295, KLT = 484, ransac = 285
id = 296, KLT = 490, ransac = 265
id = 297, KLT = 452, ransac = 243
id = 298, KLT = 418, ransac = 235
id = 299, KLT = 420, ransac = 220
id = 300, KLT = 449, ransac = 240
id = 301, KLT = 483, ransac = 233
id = 302, KLT = 532, ransac = 220
id = 303, KLT = 462, ransac = 193
id = 304, KLT = 466, ransac = 228
id = 305, KLT = 345, ransac = 178
id = 306, KLT = 175, ransac = 69
id = 307, KLT = 133, ransac = 55
id = 308, KLT = 99, ransac = 52
id = 309, KLT = 88, ransac = 60
id = 310, KLT = 65, ransac = 34
id = 311, KLT = 35, ransac = 26
id = 312, KLT = 70, ransac = 31
id = 313, KLT = 75, ransac = 43
id = 314, KLT = 79, ransac = 35
id = 315, KLT = 62, ransac = 23
id = 316, KLT = 26, ransac = 15
id = 317, KLT = 33, ransac = 17
id = 318, KLT = 18, ransac = 14
id = 319, KLT = 28, ransac = 23
id = 320, KLT = 60, ransac = 38
id = 321, KLT = 26, ransac = 21
id = 322, KLT = 23, ransac = 17
id = 323, KLT = 179, ransac = 73
id = 324, KLT = 358, ransac = 118
id = 325, KLT = 458, ransac = 121
id = 326, KLT = 521, ransac = 195
id = 327, KLT = 519, ransac = 177
id = 328, KLT = 613, ransac = 200
id = 329, KLT = 654, ransac = 242
id = 330, KLT = 674, ransac = 258
id = 331, KLT = 691, ransac = 283
id = 332, KLT = 723, ransac = 288
id = 333, KLT = 743, ransac = 273
id = 334, KLT = 792, ransac = 269
id = 335, KLT = 789, ransac = 295
id = 336, KLT = 779, ransac = 285
id = 337, KLT = 749, ransac = 275
id = 338, KLT = 731, ransac = 273
id = 339, KLT = 692, ransac = 276
id = 340, KLT = 660, ransac = 238
id = 341, KLT = 618, ransac = 253
id = 342, KLT = 624, ransac = 259
id = 343, KLT = 630, ransac = 273
id = 344, KLT = 694, ransac = 253
id = 345, KLT = 701, ransac = 281
id = 346, KLT = 710, ransac = 283
id = 347, KLT = 687, ransac = 297
id = 348, KLT = 701, ransac = 200
id = 349, KLT = 550, ransac = 155
id = 350, KLT = 559, ransac = 165
id = 351, KLT = 408, ransac = 131
id = 352, KLT = 389, ransac = 113
id = 353, KLT = 278, ransac = 99
id = 354, KLT = 218, ransac = 85
id = 355, KLT = 290, ransac = 75
id = 356, KLT = 302, ransac = 66
id = 357, KLT = 236, ransac = 56
id = 358, KLT = 244, ransac = 63
id = 359, KLT = 230, ransac = 66
id = 360, KLT = 176, ransac = 71
id = 361, KLT = 65, ransac = 37
id = 362, KLT = 62, ransac = 26
id = 363, KLT = 88, ransac = 42
id = 364, KLT = 106, ransac = 44
id = 365, KLT = 82, ransac = 48
id = 366, KLT = 75, ransac = 40
id = 367, KLT = 55, ransac = 28
id = 368, KLT = 17, ransac = 13
id = 369, KLT = 5, ransac = 0
id = 370, KLT = 3, ransac = 0
id = 371, KLT = 2, ransac = 0
id = 372, KLT = 0, ransac = 0
id = 373, KLT = 0, ransac = 0
id = 374, KLT = 4, ransac = 0
id = 375, KLT = 0, ransac = 0
id = 376, KLT = 0, ransac = 0
id = 377, KLT = 1, ransac = 0
id = 378, KLT = 0, ransac = 0
id = 379, KLT = 2, ransac = 0
id = 380, KLT = 14, ransac = 8
id = 381, KLT = 57, ransac = 45
id = 382, KLT = 53, ransac = 32
id = 383, KLT = 108, ransac = 43
id = 384, KLT = 122, ransac = 53
id = 385, KLT = 99, ransac = 43
id = 386, KLT = 41, ransac = 20
id = 387, KLT = 28, ransac = 17
id = 388, KLT = 36, ransac = 24
id = 389, KLT = 18, ransac = 15
id = 390, KLT = 39, ransac = 30
id = 391, KLT = 38, ransac = 26
id = 392, KLT = 30, ransac = 19
id = 393, KLT = 35, ransac = 25
id = 394, KLT = 31, ransac = 22
id = 395, KLT = 24, ransac = 23
id = 396, KLT = 25, ransac = 21
id = 397, KLT = 26, ransac = 23
id = 398, KLT = 32, ransac = 22
id = 399, KLT = 43, ransac = 23
id = 400, KLT = 30, ransac = 19
id = 401, KLT = 23, ransac = 17
id = 402, KLT = 20, ransac = 15
id = 403, KLT = 19, ransac = 16
id = 404, KLT = 17, ransac = 13
id = 405, KLT = 15, ransac = 13
id = 406, KLT = 14, ransac = 8
id = 407, KLT = 25, ransac = 17
id = 408, KLT = 18, ransac = 14
id = 409, KLT = 19, ransac = 14
id = 410, KLT = 17, ransac = 15
id = 411, KLT = 18, ransac = 14
id = 412, KLT = 22, ransac = 16
id = 413, KLT = 23, ransac = 20
id = 414, KLT = 22, ransac = 16
id = 415, KLT = 17, ransac = 13
id = 416, KLT = 21, ransac = 17
id = 417, KLT = 19, ransac = 14
id = 418, KLT = 20, ransac = 15
id = 419, KLT = 21, ransac = 16
id = 420, KLT = 20, ransac = 14
id = 421, KLT = 21, ransac = 17
id = 422, KLT = 21, ransac = 16
id = 423, KLT = 21, ransac = 16
id = 424, KLT = 20, ransac = 14
id = 425, KLT = 24, ransac = 19
id = 426, KLT = 20, ransac = 14
id = 427, KLT = 21, ransac = 16
id = 428, KLT = 20, ransac = 14
id = 429, KLT = 23, ransac = 19
id = 430, KLT = 19, ransac = 14
id = 431, KLT = 22, ransac = 17
id = 432, KLT = 21, ransac = 15
id = 433, KLT = 18, ransac = 14
id = 434, KLT = 21, ransac = 14
id = 435, KLT = 20, ransac = 14
id = 436, KLT = 18, ransac = 13
id = 437, KLT = 17, ransac = 13
id = 438, KLT = 18, ransac = 14
id = 439, KLT = 19, ransac = 14
id = 440, KLT = 19, ransac = 15
id = 441, KLT = 19, ransac = 15
id = 442, KLT = 18, ransac = 14
id = 443, KLT = 19, ransac = 15
id = 444, KLT = 20, ransac = 15
id = 445, KLT = 18, ransac = 13
id = 446, KLT = 21, ransac = 15
id = 447, KLT = 22, ransac = 14
id = 448, KLT = 18, ransac = 14
id = 449, KLT = 21, ransac = 15
id = 450, KLT = 19, ransac = 14
id = 451, KLT = 23, ransac = 16
id = 452, KLT = 20, ransac = 15
id = 453, KLT = 20, ransac = 15
id = 454, KLT = 20, ransac = 14
id = 455, KLT = 19, ransac = 13
